,RetractionYear,Publisher,Count
0,2010,IEEE: Institute of Electrical and Electronics Engineers,2390
1,2010,Wiley,75
2,2010,Elsevier,36
3,2010,Springer,26
4,2010,International Union of Crystallography,23
5,2010,American Chemical Society (ACS),8
6,2010,Taylor and Francis,7
7,2010,Elsevier - Cell Press,6
8,2010,American Association for Cancer Research,5
9,2010,IOP Publishing,5
10,2010,SAGE Publications,5
11,2010,BioMed Central (BMC),4
12,2010,Nature Publishing Group,4
13,2010,American Institute of Physics (AIP Publishing),3
14,2010,Springer - Nature Publishing Group,3
15,2010,American Society for Biochemistry and Molecular Biology (ASBMB),2
16,2010,American Society of Hematology,2
17,2010,Emerald,2
18,2010,Karger,2
19,2010,National Academy of Sciences (NAS),2
20,2010,Oxford Academic,2
21,2010,American Association for the Advancement of Science (AAAS),1
22,2010,American Society of Civil Engineers,1
23,2010,Canadian Center of Science and Education,1
24,2010,Commonwealth Scientific and Industrial Research Organisation (CSIRO),1
25,2010,Conde Nast,1
26,2010,De Gruyter,1
27,2010,Elewa Bio Sciences,1
28,2010,Endocrine Society,1
29,2010,Japan Society for Cell Biology,1
30,2010,Korean Association for Laboratory Animal Science,1
31,2010,Korean Neurological Association,1
32,2010,Korean Society of Spine Surgery,1
33,2010,Mary Ann Liebert,1
34,2010,National Institute of Environmental Health Sciences,1
35,2010,Oxford University Press,1
36,2010,PLoS,1
37,2010,Pontifical Institute of Mediaeval Studies,1
38,2010,Rockefeller University Press,1
39,2010,Royal Meteorological Society,1
40,2010,Royal Society of Chemistry (RSC),1
41,2010,Science Alert,1
42,2010,Springer - Biomed Central (BMC),1
43,2010,The Company of Biologists,1
44,2010,Thieme,1
45,2010,Weed Science Society of America,1
46,2010,Zhongguo Fei Ai Za Zhi Bian Ji Wei Yuan Hui,1
47,2011,IEEE: Institute of Electrical and Electronics Engineers,3401
48,2011,Wiley,72
49,2011,Elsevier,67
50,2011,Springer,39
51,2011,Taylor and Francis,18
52,2011,BioMed Central (BMC),9
53,2011,SAGE Publications,9
54,2011,American Society for Biochemistry and Molecular Biology (ASBMB),8
55,2011,American Association for the Advancement of Science (AAAS),7
56,2011,American Association of Immunologists,6
57,2011,American Chemical Society (ACS),5
58,2011,American Society of Hematology,5
59,2011,Wiley-Blackwell,5
