RetractionYear,Reason,count
2010,+Notice - Limited or No Information;,1210
2010,+Breach of Policy by Author;+Investigation by Journal/Publisher;+Notice - Limited or No Information;,418
2010,+Breach of Policy by Author;+Date of Retraction/Other Unknown;+Notice - Limited or No Information;,329
2010,+Notice - Limited or No Information;+Removed;,250
2010,+Investigation by Journal/Publisher;+Notice - Limited or No Information;+Removed;,149
2010,+Investigation by Journal/Publisher;+Notice - Limited or No Information;,64
2010,+Error in Data;+Falsification/Fabrication of Data;+Investigation by Journal/Publisher;,38
2010,+Duplication of Article;,25
2010,+Withdrawn (out of date);,17
2010,+Retract and Replace;+Withdrawn (out of date);,13
2010,+Concerns/Issues about Referencing/Attributions;+Date of Retraction/Other Unknown;+Euphemisms for Plagiarism;+Investigation by Journal/Publisher;+Plagiarism of Text;,11
2010,+Breach of Policy by Author;+Investigation by Journal/Publisher;,9
2010,+Plagiarism of Article;,9
2010,+Euphemisms for Plagiarism;+Plagiarism of Article;,7
2010,+Lack of Approval from Author;,7
2010,+Concerns/Issues About Authorship/Affiliation;+Concerns/Issues About Data;+Investigation by Company/Institution;+Investigation by Journal/Publisher;+Investigation by Third Party;+Updated to Retraction;,6
2010,+Duplicate Publication through Error by Journal/Publisher;,6
2010,+Euphemisms for Plagiarism;+Plagiarism of Text;,6
2010,+Breach of Policy by Author;+Investigation by Journal/Publisher;+Notice - Limited or No Information;+Removed;,5
2010,+Concerns/Issues about Referencing/Attributions;+Date of Retraction/Other Unknown;+Euphemisms for Plagiarism;+Investigation by Journal/Publisher;+Plagiarism of Article;,5
2010,+Error in Analyses;+Temporary Removal;,5
2010,+Error in Text;,5
2010,+Author Unresponsive;+Retract and Replace;+Withdrawn (out of date);,4
2010,+Breach of Policy by Author;+Notice - Limited or No Information;,4
2010,+Copyright Claims;+Retract and Replace;,4
2010,+Retract and Replace;,4
2010,+Breach of Policy by Author;,3
2010,+Concerns/Issues About Authorship/Affiliation;+Updated to Retraction;,3
2010,+Concerns/Issues About Image;+Error in Data;+Error in Methods;+Objections by Author(s);,3
2010,+Duplication of Image;+Error in Image;,3
2010,+Error by Journal/Publisher;+Retract and Replace;,3
2010,+Error in Results and/or Conclusions;+Unreliable Results;,3
2010,+Manipulation of Images;+Notice - Limited or No Information;,3
2010,+Breach of Policy by Author;+Duplication of Article;,2
2010,+Breach of Policy by Author;+Investigation by Journal/Publisher;+Removed;,2
2010,+Breach of Policy by Author;+Lack of Approval from Company/Institution;+Lack of Approval from Third Party;+Removed;,2
2010,+Concerns/Issues About Authorship/Affiliation;+Lack of Approval from Author;,2
2010,+Concerns/Issues About Data;+Investigation by Company/Institution;+Misconduct - Official Investigation/Finding;+Misconduct by Third Party;+Results Not Reproducible;,2
2010,+Concerns/Issues About Results;+Temporary Removal;,2
2010,+Copyright Claims;,2
2010,+Date of Retraction/Other Unknown;+Investigation by Journal/Publisher;+Notice - Limited or No Information;,2
2010,+Date of Retraction/Other Unknown;+Plagiarism of Article;,2
2010,+Date of Retraction/Other Unknown;+Plagiarism of Text;,2
2010,+Duplication of Data;,2
2010,+Error in Data;,2
2010,+Error in Data;+Error in Results and/or Conclusions;+Unreliable Data;,2
2010,+Error in Data;+Investigation by Journal/Publisher;+Unreliable Data;+Unreliable Results;,2
2010,+Error in Image;+Euphemisms for Plagiarism;,2
2010,+Error in Methods;+Error in Results and/or Conclusions;,2
2010,+Error in Methods;+Results Not Reproducible;+Unreliable Results;,2
2010,+False/Forged Authorship;,2
2010,+Falsification/Fabrication of Data;+Investigation by Company/Institution;+Investigation by ORI;+Misconduct by Author;+Notice - Limited or No Information;,2
2010,+Plagiarism of Text;,2
2010,+Results Not Reproducible;,2
2010,+Breach of Policy by Author;+Date of Retraction/Other Unknown;+Investigation by Journal/Publisher;,1
2010,+Breach of Policy by Author;+Date of Retraction/Other Unknown;+Removed;,1
2010,+Breach of Policy by Author;+Doing the Right Thing;+Notice - Limited or No Information;,1
2010,+Breach of Policy by Author;+Removed;,1
2010,+Cites Retracted Work;,1
2010,+Complaints about Author;+Duplication of Article;+Ethical Violations by Author;+Investigation by Company/Institution;+Objections by Third Party;,1
2010,+Concerns/Issues About Authorship/Affiliation;,1
2010,+Concerns/Issues About Authorship/Affiliation;+Concerns/Issues About Results;,1
2010,+Concerns/Issues About Authorship/Affiliation;+Copyright Claims;,1
2010,+Concerns/Issues About Authorship/Affiliation;+Duplication of Data;,1
2010,+Concerns/Issues About Authorship/Affiliation;+Error in Text;,1
2010,+Concerns/Issues About Authorship/Affiliation;+Notice - Limited or No Information;,1
2010,+Concerns/Issues About Authorship/Affiliation;+Objections by Author(s);,1
2010,+Concerns/Issues About Data;+Concerns/Issues About Results;+Error in Data;+Error in Methods;,1
2010,+Concerns/Issues About Data;+Copyright Claims;+Date of Retraction/Other Unknown;,1
2010,+Concerns/Issues About Data;+Error in Data;,1
2010,+Concerns/Issues About Data;+Euphemisms for Plagiarism;+Plagiarism of Article;,1
2010,+Concerns/Issues About Data;+Investigation by Company/Institution;+Misconduct - Official Investigation/Finding;+Misconduct by Author;+Results Not Reproducible;,1
2010,+Concerns/Issues About Data;+Notice - Lack of;,1
2010,+Concerns/Issues About Image;+Error in Image;+Removed;,1
2010,+Concerns/Issues About Image;+Investigation by Journal/Publisher;+Updated to Retraction;,1
2010,+Concerns/Issues About Results;+Falsification/Fabrication of Data;+Investigation by Company/Institution;+Upgrade/Update of Prior Notice;,1
2010,+Concerns/Issues about Referencing/Attributions;+Error in Data;+Error in Results and/or Conclusions;,1
2010,+Copyright Claims;+Date of Retraction/Other Unknown;,1
2010,+Copyright Claims;+Error in Analyses;+Objections by Third Party;,1
2010,+Copyright Claims;+Euphemisms for Plagiarism;+Plagiarism of Article;,1
2010,+Copyright Claims;+Notice - Limited or No Information;,1
2010,+Copyright Claims;+Removed;,1
2010,+Criminal Proceedings;+Falsification/Fabrication of Data;+Investigation by Company/Institution;+Investigation by Third Party;+Misconduct - Official Investigation/Finding;+Misconduct by Author;,1
2010,+Date of Retraction/Other Unknown;+Duplication of Article;+Euphemisms for Duplication;,1
2010,+Date of Retraction/Other Unknown;+Notice - Limited or No Information;,1
2010,+Date of Retraction/Other Unknown;+Notice - Limited or No Information;+Removed;,1
2010,+Date of Retraction/Other Unknown;+Notice - Unable to Access via current resources;,1
2010,+Date of Retraction/Other Unknown;+Transfer of Copyright/Ownership;+Removed;,1
2010,+Duplication of Article;+Euphemisms for Duplication;,1
2010,+Duplication of Article;+Euphemisms for Duplication;+Euphemisms for Plagiarism;+Plagiarism of Article;,1
2010,+Duplication of Data;+Duplication of Text;,1
2010,+Duplication of Data;+Falsification/Fabrication of Image;+Investigation by Company/Institution;+Investigation by Journal/Publisher;+Misconduct - Official Investigation/Finding;+Misconduct by Author;,1
2010,+Duplication of Data;+Investigation by Journal/Publisher;+Objections by Third Party;,1
2010,+Duplication of Image;+Error in Results and/or Conclusions;+Results Not Reproducible;,1
2010,+Duplication of Image;+Falsification/Fabrication of Data;+Falsification/Fabrication of Image;+Investigation by Company/Institution;+Investigation by ORI;+Misconduct - Official Investigation/Finding;,1
2010,+Duplication of Image;+Falsification/Fabrication of Data;+Investigation by ORI;+Misconduct - Official Investigation/Finding;+Misconduct by Author;,1
2010,+Duplication of Image;+Falsification/Fabrication of Image;+Investigation by Company/Institution;+Investigation by Journal/Publisher;+Misconduct - Official Investigation/Finding;+Misconduct by Author;,1
2010,+Duplication of Text;+Euphemisms for Plagiarism;,1
2010,+Error by Journal/Publisher;+Lack of Approval from Author;,1
2010,+Error in Analyses;+Error in Data;+Error in Methods;+Error in Results and/or Conclusions;,1
2010,+Error in Analyses;+Error in Data;+Results Not Reproducible;,1
2010,+Error in Analyses;+Error in Results and/or Conclusions;,1
2010,+Error in Cell Lines/Tissues;+Results Not Reproducible;,1
2010,+Error in Data;+Error in Image;+Error in Methods;+Error in Results and/or Conclusions;+Retract and Replace;,1
2010,+Error in Data;+Error in Image;+Error in Methods;+Error in Results and/or Conclusions;+Unreliable Data;+Unreliable Image;+Unreliable Results;,1
2010,+Error in Data;+Error in Materials;,1
2010,+Error in Data;+Error in Methods;+Error in Results and/or Conclusions;+Unreliable Results;,1
2010,+Error in Data;+Results Not Reproducible;,1
2010,+Error in Data;+Unreliable Data;+Unreliable Results;,1
2010,+Error in Data;+Unreliable Results;,1
2010,+Error in Image;,1
2010,+Error in Image;+Error in Results and/or Conclusions;,1
2010,+Error in Image;+Manipulation of Images;,1
2010,+Error in Methods;+Error in Results and/or Conclusions;+Unreliable Results;,1
2010,+Error in Methods;+Unreliable Results;,1
2010,+Error in Text;+Bias Issues or Lack of Balance;,1
2010,+Error in Text;+Updated to Retraction;,1
2010,+Ethical Violations by Author;+Notice - Limited or No Information;+Removed;,1
2010,+Ethical Violations by Author;+Objections by Third Party;+Plagiarism of Data;+Plagiarism of Text;,1
2010,+Falsification/Fabrication of Data;+Investigation by Company/Institution;+Investigation by ORI;+Misconduct - Official Investigation/Finding;+Misconduct by Author;,1
2010,+Falsification/Fabrication of Data;+Investigation by Company/Institution;+Investigation by Third Party;+Misconduct - Official Investigation/Finding;+Misconduct by Third Party;,1
2010,+Falsification/Fabrication of Data;+Investigation by Company/Institution;+Misconduct - Official Investigation/Finding;+Misconduct by Author;+Results Not Reproducible;,1
2010,+Falsification/Fabrication of Data;+Investigation by Company/Institution;+Unreliable Results;,1
2010,+Falsification/Fabrication of Data;+Investigation by ORI;+Misconduct - Official Investigation/Finding;+Misconduct by Author;+Retract and Replace;,1
2010,+Falsification/Fabrication of Data;+Manipulation of Images;+Misconduct by Author;,1
2010,+Falsification/Fabrication of Image;,1
2010,+Falsification/Fabrication of Image;+Manipulation of Images;,1
2010,+Falsification/Fabrication of Image;+Unreliable Results;,1
2010,+Investigation by Company/Institution;+Investigation by Third Party;+Lack of IRB/IACUC Approval;+Misconduct - Official Investigation/Finding;+Misconduct by Author;,1
2010,+Investigation by Company/Institution;+Investigation by Third Party;+Misconduct - Official Investigation/Finding;+Misconduct by Author;+Notice - Limited or No Information;+Removed;,1
2010,+Investigation by Journal/Publisher;+Plagiarism of Image;,1
2010,+Manipulation of Images;+Unreliable Results;,1
2010,+Notice - Lack of;,1
2010,+Notice - Lack of;+Removed;,1
2010,+Notice - Limited or No Information;+Plagiarism of Article;+Removed;,1
2010,+Plagiarism of Data;+Plagiarism of Text;,1
2010,+Removed;,1
2010,+Results Not Reproducible;+Unreliable Results;,1
2010,+Retract and Replace;+Withdrawn to Publish in Different Journal;,1
2011,+Breach of Policy by Author;+Date of Retraction/Other Unknown;+Notice - Limited or No Information;,2093
2011,+Notice - Limited or No Information;,1229
2011,+Breach of Policy by Author;+Investigation by Journal/Publisher;+Notice - Limited or No Information;,69
2011,+Withdrawn (out of date);,30
2011,+Duplication of Article;,26
2011,+Breach of Policy by Author;+Date of Retraction/Other Unknown;+Investigation by Journal/Publisher;+Notice - Limited or No Information;,24
2011,+Breach of Policy by Author;+Investigation by Journal/Publisher;,22
2011,+Plagiarism of Article;,21
2011,+Breach of Policy by Author;+Notice - Limited or No Information;,15
2011,+Retract and Replace;,13
2011,+Investigation by Journal/Publisher;+Notice - Limited or No Information;,11
2011,+Plagiarism of Text;,11
2011,+Date of Retraction/Other Unknown;+Notice - Limited or No Information;+Removed;,9
